PUSH  FIND  POP
15     1     6     
18     2     12     
21     3     28     
25     4     34     
28     5     39     
30     5     44     
32     5     49     
35     6     54     
38     7     59     
41     8     64     
44     9     69     
47     9     74     
50     9     79     
53     9     84     
56     9     89     
60     9     94     
64     9     99     
68     10     104     
71     11     109     
74     11     114     
77     12     119     
80     13     124     
83     14     129     
87     15     134     
90     15     139     
93     15     145     
96     16     150     
99     17     155     
102     18     160     
105     18     165     
108     18     170     
111     18     175     
113     18     180     
116     18     185     
119     19     190     
121     19     195     
124     19     199     
127     20     204     
130     20     209     
133     21     214     
136     22     219     
139     23     224     
142     23     229     
145     23     234     
148     23     238     
151     24     243     
154     25     248     
157     25     253     
161     25     258     
164     25     263     
167     26     268     
170     27     273     
173     27     278     
176     27     283     
179     27     289     
182     28     294     
185     28     299     
188     28     304     
191     29     309     
194     30     314     
197     30     318     
200     31     323     
203     31     328     
206     31     333     
209     32     338     
212     32     343     
215     33     348     
217     33     353     
220     33     358     
223     34     363     
226     34     368     
229     34     373     
232     34     378     
235     35     383     
238     35     388     
241     35     393     
244     36     398     
247     37     403     
249     37     408     
252     37     413     
255     37     418     
258     37     423     
261     38     428     
264     39     433     
267     39     438     
270     39     444     
273     40     449     
276     41     454     
278     41     458     
281     42     463     
285     42     468     
288     42     473     
291     42     478     
294     43     483     
297     43     488     
300     43     493     
303     44     498     
306     45     503     
309     46     508     
312     46     513     
315     47     518     
317     47     523     
320     48     528     
323     48     533     
326     48     538     
329     49     543     
332     50     548     
335     50     553     
338     51     558     
341     51     563     
344     51     568     
347     52     573     
350     52     578     
353     52     583     
356     53     588     
359     53     593     
362     53     597     
365     54     602     
367     54     607     
370     54     612     
373     54     618     
376     55     623     
380     55     628     
383     55     632     
386     56     637     
389     56     642     
392     57     647     
395     58     652     
398     58     657     
401     59     662     
404     60     667     
407     60     672     
410     60     677     
413     61     682     
416     61     687     
419     61     692     
422     62     697     
425     63     702     
427     63     707     
430     63     712     
433     64     717     
436     65     722     
439     66     727     
442     66     732     
445     66     737     
448     66     742     
451     66     747     
454     67     752     
457     68     757     
460     68     762     
463     68     766     
466     69     771     
469     69     776     
472     70     781     
475     71     786     
477     71     791     
480     72     796     
483     73     801     
486     73     806     
489     73     811     
492     73     816     
495     73     821     
498     74     826     
501     75     831     
503     75     836     
506     75     841     
509     76     846     
512     76     851     
515     76     856     
518     77     861     
522     77     866     
525     77     870     
528     78     875     
531     78     880     
544     79     885     
547     80     891     
550     80     896     
553     81     901     
556     82     906     
559     82     911     
563     82     916     
566     83     922     
569     83     928     
572     83     933     
576     83     938     
579     84     943     
582     85     948     
585     86     953     
588     87     959     
591     87     964     
595     88     969     
598     89     975     
601     89     980     
604     90     985     
607     91     991     
610     92     997     
613     92     1002     
616     92     1007     
619     93     1013     
622     93     1018     
625     93     1023     
628     93     1028     
631     94     1034     
634     94     1039     
638     95     1045     
642     96     1051     
646     97     1057     
649     97     1062     
652     98     1067     
655     98     1073     
658     98     1078     
661     99     1083     
664     100     1088     
667     100     1093     
671     101     1099     
675     102     1106     
679     102     1112     
683     103     1118     
687     103     1125     
692     104     1131     
695     104     1136     
698     104     1141     
701     104     1146     
704     104     1151     
707     105     1157     
710     105     1162     
713     106     1168     
717     107     1174     
722     108     1180     
725     108     1185     
728     109     1190     
731     110     1195     
734     111     1201     
737     111     1206     
741     111     1211     
745     111     1218     
749     112     1224     
753     112     1229     
756     113     1235     
759     113     1240     
763     114     1245     
766     114     1251     
769     114     1256     
773     115     1261     
776     116     1266     
779     116     1271     
782     116     1276     
785     116     1281     
788     116     1286     
790     116     1291     
793     117     1296     
796     118     1302     
800     119     1307     
803     120     1313     
806     120     1318     
810     121     1323     
813     122     1328     
816     123     1333     
819     123     1338     
822     124     1343     
825     125     1348     
828     126     1354     
831     126     1359     
835     127     1364     
838     128     1370     
841     128     1375     
844     128     1380     
847     128     1385     
862     128     1390     
865     128     1395     
868     129     1400     
871     129     1405     
874     130     1410     
877     130     1415     
880     130     1420     
883     131     1425     
886     131     1430     
889     132     1435     
892     132     1440     
895     133     1446     
898     134     1451     
901     134     1456     
904     134     1461     
907     135     1466     
910     136     1471     
914     136     1476     
917     136     1482     
920     137     1487     
923     138     1492     
926     139     1497     
929     139     1501     
932     140     1506     
935     141     1511     
938     141     1515     
941     142     1520     
944     142     1525     
947     143     1530     
950     144     1535     
952     144     1540     
955     145     1545     
958     145     1550     
961     145     1554     
964     146     1559     
967     146     1564     
970     147     1569     
972     147     1574     
975     147     1578     
978     148     1583     
981     148     1588     
984     149     1593     
986     149     1598     
989     150     1603     
992     151     1608     
995     151     1613     
998     151     1617     
1001     152     1622     
1004     152     1627     
1007     152     1632     
1010     153     1637     
1013     154     1642     
1016     154     1646     
1019     155     1651     
1022     156     1656     
1024     156     1661     
1027     156     1665     
