PUSH  FIND  POP
5314     436     907     
5320     436     908     
5327     437     909     
5333     437     910     
5340     438     911     
5347     438     912     
5354     439     913     
5361     440     914     
5367     441     915     
5373     442     917     
5380     443     918     
5386     444     919     
5393     445     920     
5399     446     921     
5405     446     922     
5411     446     923     
5418     447     924     
5425     448     925     
5432     448     927     
5438     448     928     
5445     449     929     
5451     449     930     
5458     450     931     
5464     450     932     
5471     451     933     
5476     451     934     
5483     452     935     
5489     452     936     
5496     453     937     
5502     453     938     
5508     453     939     
5515     454     940     
5522     454     941     
5529     455     942     
5535     455     943     
5542     456     944     
5548     457     945     
5554     457     946     
5561     458     947     
5567     458     948     
5574     459     949     
5580     460     950     
5586     461     951     
5592     461     952     
5598     461     953     
5604     461     954     
5611     461     955     
5618     461     956     
5624     462     958     
5630     462     959     
5636     462     960     
5643     463     961     
5649     463     962     
5656     464     963     
5662     464     964     
5669     465     965     
5675     466     967     
5681     466     968     
5688     467     969     
5694     468     970     
5700     469     971     
5706     470     972     
5712     471     973     
5718     471     974     
5724     471     975     
5730     471     976     
5737     472     977     
5744     473     978     
5750     474     979     
5757     474     980     
5764     475     981     
5770     475     982     
5777     476     983     
5786     477     984     
5793     478     986     
5800     479     987     
5806     479     988     
5812     479     989     
5819     480     991     
5826     480     992     
5833     480     993     
5841     481     994     
5847     481     995     
5854     482     996     
5860     482     997     
5867     483     998     
5873     483     999     
5880     484     1000     
5886     484     1001     
5892     484     1002     
5899     484     1003     
5906     484     1004     
5914     485     1005     
5921     485     1006     
5928     486     1007     
5934     487     1008     
5941     488     1010     
5948     488     1011     
5955     489     1012     
5963     490     1013     
5971     491     1014     
5979     492     1015     
5987     493     1017     
5996     493     1019     
6003     493     1020     
6009     494     1022     
6016     495     1024     
6022     496     1025     
6028     496     1026     
6035     496     1027     
6042     497     1029     
6049     497     1030     
6056     498     1031     
6064     498     1033     
6072     499     1034     
6081     500     1035     
6090     501     1037     
6099     502     1039     
6108     503     1040     
6116     504     1042     
6124     505     1043     
6133     506     1045     
6140     507     1046     
6149     508     1048     
6156     509     1050     
6164     509     1051     
6172     510     1053     
6180     511     1054     
6189     512     1055     
6198     512     1057     
6207     513     1058     
6216     513     1060     
6225     514     1062     
6234     515     1064     
6242     515     1066     
6251     516     1068     
6259     517     1070     
6266     517     1071     
6273     518     1072     
6280     519     1074     
6288     519     1075     
6296     520     1076     
6304     521     1078     
6313     521     1080     
6321     521     1081     
6329     521     1082     
6337     521     1083     
6345     522     1084     
6352     523     1085     
6360     524     1087     
6368     525     1088     
6375     526     1090     
6384     526     1091     
6392     526     1093     
6400     526     1095     
6408     527     1096     
6416     528     1098     
6424     529     1100     
6432     530     1102     
6439     531     1103     
6447     532     1104     
6455     532     1106     
6470     533     1108     
6478     534     1110     
6485     534     1111     
6493     534     1112     
6501     534     1114     
6508     535     1116     
